ts,role,task,phase,priority,ref
2025-09-15 11:34:41,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,10,item_10
2025-09-15 11:34:41,pm,timeline + risk register,P1 – MVP Integration,10,item_10
2025-09-15 11:34:41,advisor,review blueprint and sign-off,P1 – MVP Integration,10,item_10
2025-09-15 11:34:41,research,skim + summarize objectives for item_11,P1 – MVP Integration,11,item_11
2025-09-15 11:34:41,analysis,outline value props and risks for item_11,P1 – MVP Integration,11,item_11
2025-09-15 11:34:41,data,define KPIs and freshness for BI,P1 – MVP Integration,11,item_11
2025-09-15 11:34:41,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,11,item_11
2025-09-15 11:34:41,pm,timeline + risk register,P1 – MVP Integration,11,item_11
2025-09-15 11:34:41,advisor,review blueprint and sign-off,P1 – MVP Integration,11,item_11
2025-09-15 11:34:41,research,skim + summarize objectives for item_12,P1 – MVP Integration,12,item_12
2025-09-15 11:34:41,analysis,outline value props and risks for item_12,P1 – MVP Integration,12,item_12
2025-09-15 11:34:41,data,define KPIs and freshness for BI,P1 – MVP Integration,12,item_12
2025-09-15 11:34:41,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,12,item_12
2025-09-15 11:34:41,pm,timeline + risk register,P1 – MVP Integration,12,item_12
2025-09-15 11:34:41,advisor,review blueprint and sign-off,P1 – MVP Integration,12,item_12
