ts,role,task,phase,priority,ref
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,9,item_9
2025-09-17 02:57:01,research,skim + summarize objectives for item_10,P1 – MVP Integration,10,item_10
2025-09-17 02:57:01,analysis,outline value props and risks for item_10,P1 – MVP Integration,10,item_10
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,10,item_10
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,10,item_10
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,10,item_10
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,10,item_10
2025-09-17 02:57:01,research,skim + summarize objectives for item_11,P1 – MVP Integration,11,item_11
2025-09-17 02:57:01,analysis,outline value props and risks for item_11,P1 – MVP Integration,11,item_11
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,11,item_11
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,11,item_11
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,11,item_11
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,11,item_11
2025-09-17 02:57:01,research,skim + summarize objectives for item_12,P1 – MVP Integration,12,item_12
2025-09-17 02:57:01,analysis,outline value props and risks for item_12,P1 – MVP Integration,12,item_12
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,12,item_12
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,12,item_12
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,12,item_12
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,12,item_12
2025-09-17 02:57:01,research,skim + summarize objectives for item_13,P1 – MVP Integration,13,item_13
2025-09-17 02:57:01,analysis,outline value props and risks for item_13,P1 – MVP Integration,13,item_13
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,13,item_13
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,13,item_13
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,13,item_13
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,13,item_13
2025-09-17 02:57:01,research,skim + summarize objectives for item_14,P1 – MVP Integration,14,item_14
2025-09-17 02:57:01,analysis,outline value props and risks for item_14,P1 – MVP Integration,14,item_14
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,14,item_14
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,14,item_14
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,14,item_14
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,14,item_14
2025-09-17 02:57:01,research,skim + summarize objectives for item_15,P1 – MVP Integration,15,item_15
2025-09-17 02:57:01,analysis,outline value props and risks for item_15,P1 – MVP Integration,15,item_15
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,15,item_15
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,15,item_15
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,15,item_15
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,15,item_15
2025-09-17 02:57:01,research,skim + summarize objectives for item_16,P1 – MVP Integration,16,item_16
2025-09-17 02:57:01,analysis,outline value props and risks for item_16,P1 – MVP Integration,16,item_16
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,16,item_16
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,16,item_16
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,16,item_16
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,16,item_16
2025-09-17 02:57:01,research,skim + summarize objectives for item_17,P1 – MVP Integration,17,item_17
2025-09-17 02:57:01,analysis,outline value props and risks for item_17,P1 – MVP Integration,17,item_17
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,17,item_17
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,17,item_17
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,17,item_17
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,17,item_17
2025-09-17 02:57:01,research,skim + summarize objectives for item_18,P1 – MVP Integration,18,item_18
2025-09-17 02:57:01,analysis,outline value props and risks for item_18,P1 – MVP Integration,18,item_18
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,18,item_18
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,18,item_18
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,18,item_18
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,18,item_18
2025-09-17 02:57:01,research,skim + summarize objectives for item_19,P1 – MVP Integration,19,item_19
2025-09-17 02:57:01,analysis,outline value props and risks for item_19,P1 – MVP Integration,19,item_19
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,19,item_19
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,19,item_19
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,19,item_19
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,19,item_19
2025-09-17 02:57:01,research,skim + summarize objectives for item_20,P1 – MVP Integration,20,item_20
2025-09-17 02:57:01,analysis,outline value props and risks for item_20,P1 – MVP Integration,20,item_20
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,20,item_20
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,20,item_20
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,20,item_20
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,20,item_20
2025-09-17 02:57:01,research,skim + summarize objectives for item_21,P1 – MVP Integration,21,item_21
2025-09-17 02:57:01,analysis,outline value props and risks for item_21,P1 – MVP Integration,21,item_21
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,21,item_21
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,21,item_21
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,21,item_21
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,21,item_21
2025-09-17 02:57:01,research,skim + summarize objectives for item_22,P1 – MVP Integration,22,item_22
2025-09-17 02:57:01,analysis,outline value props and risks for item_22,P1 – MVP Integration,22,item_22
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,22,item_22
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,22,item_22
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,22,item_22
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,22,item_22
2025-09-17 02:57:01,research,skim + summarize objectives for item_23,P1 – MVP Integration,23,item_23
2025-09-17 02:57:01,analysis,outline value props and risks for item_23,P1 – MVP Integration,23,item_23
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,23,item_23
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,23,item_23
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,23,item_23
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,23,item_23
2025-09-17 02:57:01,research,skim + summarize objectives for item_24,P1 – MVP Integration,24,item_24
2025-09-17 02:57:01,analysis,outline value props and risks for item_24,P1 – MVP Integration,24,item_24
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,24,item_24
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,24,item_24
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,24,item_24
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,24,item_24
2025-09-17 02:57:01,research,skim + summarize objectives for item_25,P1 – MVP Integration,25,item_25
2025-09-17 02:57:01,analysis,outline value props and risks for item_25,P1 – MVP Integration,25,item_25
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,25,item_25
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,25,item_25
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,25,item_25
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,25,item_25
2025-09-17 02:57:01,research,skim + summarize objectives for item_26,P1 – MVP Integration,26,item_26
2025-09-17 02:57:01,analysis,outline value props and risks for item_26,P1 – MVP Integration,26,item_26
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,26,item_26
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,26,item_26
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,26,item_26
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,26,item_26
2025-09-17 02:57:01,research,skim + summarize objectives for item_27,P1 – MVP Integration,27,item_27
2025-09-17 02:57:01,analysis,outline value props and risks for item_27,P1 – MVP Integration,27,item_27
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,27,item_27
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,27,item_27
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,27,item_27
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,27,item_27
2025-09-17 02:57:01,research,skim + summarize objectives for item_28,P1 – MVP Integration,28,item_28
2025-09-17 02:57:01,analysis,outline value props and risks for item_28,P1 – MVP Integration,28,item_28
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,28,item_28
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,28,item_28
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,28,item_28
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,28,item_28
2025-09-17 02:57:01,research,skim + summarize objectives for item_29,P1 – MVP Integration,29,item_29
2025-09-17 02:57:01,analysis,outline value props and risks for item_29,P1 – MVP Integration,29,item_29
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,29,item_29
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,29,item_29
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,29,item_29
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,29,item_29
2025-09-17 02:57:01,research,skim + summarize objectives for item_30,P1 – MVP Integration,30,item_30
2025-09-17 02:57:01,analysis,outline value props and risks for item_30,P1 – MVP Integration,30,item_30
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,30,item_30
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,30,item_30
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,30,item_30
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,30,item_30
2025-09-17 02:57:01,research,skim + summarize objectives for item_31,P1 – MVP Integration,31,item_31
2025-09-17 02:57:01,analysis,outline value props and risks for item_31,P1 – MVP Integration,31,item_31
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,31,item_31
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,31,item_31
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,31,item_31
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,31,item_31
2025-09-17 02:57:01,research,skim + summarize objectives for item_32,P1 – MVP Integration,32,item_32
2025-09-17 02:57:01,analysis,outline value props and risks for item_32,P1 – MVP Integration,32,item_32
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,32,item_32
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,32,item_32
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,32,item_32
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,32,item_32
2025-09-17 02:57:01,research,skim + summarize objectives for item_33,P1 – MVP Integration,33,item_33
2025-09-17 02:57:01,analysis,outline value props and risks for item_33,P1 – MVP Integration,33,item_33
2025-09-17 02:57:01,data,define KPIs and freshness for BI,P1 – MVP Integration,33,item_33
2025-09-17 02:57:01,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,33,item_33
2025-09-17 02:57:01,pm,timeline + risk register,P1 – MVP Integration,33,item_33
2025-09-17 02:57:01,advisor,review blueprint and sign-off,P1 – MVP Integration,33,item_33
