ts,role,task,phase,priority,ref
2025-09-15 17:35:39,research,skim + summarize objectives for item_874,P1 – MVP Integration,10,item_874
2025-09-15 17:35:39,analysis,outline value props and risks for item_874,P1 – MVP Integration,10,item_874
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P1 – MVP Integration,10,item_874
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,10,item_874
2025-09-15 17:35:39,pm,timeline + risk register,P1 – MVP Integration,10,item_874
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P1 – MVP Integration,10,item_874
2025-09-15 17:35:39,research,skim + summarize objectives for item_3,P1 – MVP Integration,11,item_3
2025-09-15 17:35:39,analysis,outline value props and risks for item_3,P1 – MVP Integration,11,item_3
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P1 – MVP Integration,11,item_3
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,11,item_3
2025-09-15 17:35:39,pm,timeline + risk register,P1 – MVP Integration,11,item_3
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P1 – MVP Integration,11,item_3
2025-09-15 17:35:39,research,skim + summarize objectives for item_221,P1 – MVP Integration,12,item_221
2025-09-15 17:35:39,analysis,outline value props and risks for item_221,P1 – MVP Integration,12,item_221
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P1 – MVP Integration,12,item_221
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,12,item_221
2025-09-15 17:35:39,pm,timeline + risk register,P1 – MVP Integration,12,item_221
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P1 – MVP Integration,12,item_221
2025-09-15 17:35:39,research,skim + summarize objectives for item_439,P1 – MVP Integration,13,item_439
2025-09-15 17:35:39,analysis,outline value props and risks for item_439,P1 – MVP Integration,13,item_439
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P1 – MVP Integration,13,item_439
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,13,item_439
2025-09-15 17:35:39,pm,timeline + risk register,P1 – MVP Integration,13,item_439
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P1 – MVP Integration,13,item_439
2025-09-15 17:35:39,research,skim + summarize objectives for item_657,P1 – MVP Integration,14,item_657
2025-09-15 17:35:39,analysis,outline value props and risks for item_657,P1 – MVP Integration,14,item_657
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P1 – MVP Integration,14,item_657
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,14,item_657
2025-09-15 17:35:39,pm,timeline + risk register,P1 – MVP Integration,14,item_657
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P1 – MVP Integration,14,item_657
2025-09-15 17:35:39,research,skim + summarize objectives for item_875,P1 – MVP Integration,15,item_875
2025-09-15 17:35:39,analysis,outline value props and risks for item_875,P1 – MVP Integration,15,item_875
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P1 – MVP Integration,15,item_875
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,15,item_875
2025-09-15 17:35:39,pm,timeline + risk register,P1 – MVP Integration,15,item_875
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P1 – MVP Integration,15,item_875
2025-09-15 17:35:39,research,skim + summarize objectives for item_4,P1 – MVP Integration,16,item_4
2025-09-15 17:35:39,analysis,outline value props and risks for item_4,P1 – MVP Integration,16,item_4
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P1 – MVP Integration,16,item_4
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,16,item_4
2025-09-15 17:35:39,pm,timeline + risk register,P1 – MVP Integration,16,item_4
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P1 – MVP Integration,16,item_4
2025-09-15 17:35:39,research,skim + summarize objectives for item_222,P1 – MVP Integration,17,item_222
2025-09-15 17:35:39,analysis,outline value props and risks for item_222,P1 – MVP Integration,17,item_222
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P1 – MVP Integration,17,item_222
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,17,item_222
2025-09-15 17:35:39,pm,timeline + risk register,P1 – MVP Integration,17,item_222
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P1 – MVP Integration,17,item_222
2025-09-15 17:35:39,research,skim + summarize objectives for item_440,P1 – MVP Integration,18,item_440
2025-09-15 17:35:39,analysis,outline value props and risks for item_440,P1 – MVP Integration,18,item_440
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P1 – MVP Integration,18,item_440
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,18,item_440
2025-09-15 17:35:39,pm,timeline + risk register,P1 – MVP Integration,18,item_440
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P1 – MVP Integration,18,item_440
2025-09-15 17:35:39,research,skim + summarize objectives for item_658,P1 – MVP Integration,19,item_658
2025-09-15 17:35:39,analysis,outline value props and risks for item_658,P1 – MVP Integration,19,item_658
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P1 – MVP Integration,19,item_658
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,19,item_658
2025-09-15 17:35:39,pm,timeline + risk register,P1 – MVP Integration,19,item_658
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P1 – MVP Integration,19,item_658
2025-09-15 17:35:39,research,skim + summarize objectives for item_876,P1 – MVP Integration,20,item_876
2025-09-15 17:35:39,analysis,outline value props and risks for item_876,P1 – MVP Integration,20,item_876
2025-09-15 17:35:39,data,define KPIs and freshness for BI,P1 – MVP Integration,20,item_876
2025-09-15 17:35:39,growth,prepare 3 posts + 10 DMs plan,P1 – MVP Integration,20,item_876
2025-09-15 17:35:39,pm,timeline + risk register,P1 – MVP Integration,20,item_876
2025-09-15 17:35:39,advisor,review blueprint and sign-off,P1 – MVP Integration,20,item_876
